Hello world;Hola Mundo
Welcome;Bienvenido
a;una
ability;capacidad
able;poder
about;acerca de
above;encima
accept;aceptar
according;conforme
account;cuenta
across;a través de
act;acto
action;acción
activity;actividad
actually;actualmente
add;añadir
address;dirección
administration;administración
admit;admitir
adult;adulto
affect;afectar
after;después
again;otra vez
against;en contra
age;años
agency;agencia
agent;agente
ago;hace
agree;de acuerdo
agreement;acuerdo
ahead;adelante
air;aire
all;todos
allow;permitir
almost;casi
alone;solo
along;a lo largo
already;ya
also;además
although;a pesar de que
always;siempre
American;americano
among;entre
amount;cantidad
analysis;análisis
and;y
animal;animal
another;otro
answer;responder
any;alguna
anyone;nadie
anything;cualquier cosa
appear;Aparecer
apply;aplicar
approach;enfoque
area;zona
argue;discutir
arm;brazo
around;alrededor
arrive;llegar
art;Art º
article;artículo
artist;artista
as;como
ask;pedir
assume;asumir
at;a
attack;ataque
attention;atención
attorney;abogado
audience;audiencia
author;autor
authority;autoridad
available;disponible
avoid;evitar
away;lejos
baby;bebé
back;atrás
bad;malo
bag;bolso
ball;bola
bank;banco
bar;bar
base;base
be;ser
beat;golpear
beautiful;hermoso
because;porque
become;volverse
bed;cama
before;antes de
begin;empezar
behavior;comportamiento
behind;detrás
believe;creer
benefit;beneficio
best;mejor
better;mejor
between;Entre
beyond;más allá
big;grande
bill;cuenta
billion;mil millones
bit;poco
black;negro
blood;sangre
blue;azul
board;tablero
body;cuerpo
book;libro
born;nacido
both;ambos
box;caja
boy;niño
break;descanso
bring;traer
brother;hermano
budget;presupuesto
build;construir
building;edificio
business;negocio
but;pero
buy;comprar
by;por
call;llamada
camera;cámara
campaign;Campaña
can;puede
cancer;cáncer
candidate;candidato
capital;capital
car;coche
card;tarjeta
care;cuidado
career;carrera
carry;llevar
case;caso
catch;captura
cause;porque
cell;célula
center;centrar
central;central
century;siglo
certain;cierto
certainly;ciertamente
chair;silla
challenge;reto
chance;oportunidad
change;cambio
character;personaje
charge;cargar
check;comprobar
child;niño
choice;elección
choose;escoger
church;Iglesia
citizen;ciudadano
city;ciudad
civil;civil
claim;Reclamación
class;clase
clear;claro
clearly;claramente
close;cerrar
coach;entrenador
cold;frío
collection;colección
college;Universidad
color;color
come;ven
commercial;comercial
common;común
community;comunidad
company;empresa
compare;comparar
computer;computadora
concern;preocupación
condition;condición
conference;conferencia
Congress;Congreso
consider;considerar
consumer;consumidor
contain;Contiene
continue;continuar
control;controlar
cost;costo
could;podría
country;país
couple;Pareja
course;curso
court;Corte
cover;cubrir
create;crear
crime;crimen
cultural;cultural
culture;cultura
cup;vaso
current;corriente
customer;cliente
cut;cortar
dark;oscuro
data;datos
daughter;hija
day;día
dead;muerto
deal;acuerdo
death;muerte
debate;debate
decade;década
decide;decidir
decision;decisión
deep;profundo
defense;defensa
degree;la licenciatura
Democrat;Demócrata
democratic;democrático
describe;describir
design;diseño
despite;A pesar de
detail;detalle
determine;determinar
develop;desarrollar
development;desarrollo
die;morir
difference;diferencia
different;diferente
difficult;difícil
dinner;cena
direction;dirección
director;director
discover;descubrir
discuss;discutir
discussion;discusión
disease;enfermedad
do;hacer
doctor;doctor
dog;perro
door;puerta
down;abajo
draw;dibujar
dream;sueño
drive;conducir
drop;soltar
drug;fármaco
during;durante
each;cada
early;temprano
east;este
easy;fácil
eat;comer
economic;económico
economy;economía
edge;borde
education;educación
effect;efecto
effort;esfuerzo
eight;ocho
either;ya sea
election;elección
else;más
employee;empleado
end;fin
energy;energía
enjoy;disfrutar
enough;suficiente
enter;entrar
entire;todo
environment;ambiente
environmental;ambiental
especially;especialmente
establish;establecer
even;incluso
evening;noche
event;evento
ever;siempre
every;cada
everybody;todos
everyone;todo el mundo
everything;todo
evidence;evidencia
exactly;exactamente
example;ejemplo
executive;ejecutivo
exist;existe
expect;esperar
experience;experiencia
expert;experto
explain;explique
eye;ojo
face;cara
fact;hecho
factor;factor
fail;fallar
fall;otoño
family;familia
far;lejos
fast;rápido
father;padre
fear;temor
federal;federal
feel;sensación
feeling;sensación
few;pocos
field;campo
fight;lucha
figure;figura
fill;llenar
film;película
final;final
finally;finalmente
financial;financiero
find;encontrar
fine;multa
finger;dedo
finish;terminar
fire;fuego
firm;firma
first;primero
fish;pez
five;cinco
floor;piso
fly;volar
focus;atención
follow;seguir
food;comida
foot;pie
for;para
force;fuerza
foreign;exterior
forget;olvidar
form;formar
former;ex
forward;adelante
four;cuatro
free;gratis
friend;amigo
from;desde
front;frente
full;completo
fund;financiar
future;futuro
game;juego
garden;jardín
gas;gas
general;general
generation;Generacion
get;obtener
girl;niña
give;dar
glass;vaso
go;ir
goal;Gol
good;bueno
government;gobierno
great;genial
green;verde
ground;suelo
group;grupo
grow;crecer
growth;crecimiento
guess;adivinar
gun;pistola
guy;chico
hair;pelo
half;mitad
hand;mano
hang;colgar
happen;ocurrir
happy;feliz
hard;difícil
have;tener
he;él
head;cabeza
health;salud
hear;oír
heart;corazón
heat;calor
heavy;pesado
help;ayuda
her;su
here;aquí
herself;sí misma
high;alto
him;él
himself;él mismo
his;su
history;historia
hit;golpear
hold;sostener
home;casa
hope;esperanza
hospital;hospital
hot;caliente
hotel;hotel
hour;hora
house;casa
how;cómo
however;sin embargo
huge;enorme
human;humano
hundred;cien
husband;marido
I;yo
idea;idea
identify;identificar
if;Si
image;imagen
imagine;imagina
impact;impacto
important;importante
improve;mejorar
in;en
include;incluir
including;incluso
increase;incrementar
indeed;en efecto
indicate;indicar
individual;individual
industry;industria
information;información
inside;dentro
instead;en lugar
institution;institución
interest;interesar
interesting;interesante
international;internacional
interview;entrevista
into;dentro
investment;inversión
involve;implicar
issue;problema
it;eso
item;ít
its;sus
itself;sí mismo
job;trabajo
join;unirse
just;sólo
keep;mantener
key;llave
kid;niño
kill;matar
kind;tipo
kitchen;cocina
know;saber
knowledge;conocimiento
land;tierra
language;idioma
large;grande
last;último
late;tarde
later;luego
laugh;risa
law;ley
lawyer;abogado
lay;laico
lead;dirigir
leader;líder
learn;aprender
least;menos
leave;salir
left;izquierda
leg;pierna
legal;legal
less;Menos
let;dejar
letter;carta
level;nivel
lie;mentira
life;vida
light;ligero
like;me gusta
likely;probable
line;línea
list;lista
listen;escucha
little;pequeño
live;vivir
local;local
long;largo
look;Mira
lose;perder
loss;pérdida
lot;mucho
love;amor
low;bajo
machine;máquina
magazine;revista
main;principal
maintain;mantener
major;mayor
majority;mayoria
make;hacer
man;hombre
manage;gestionar
management;administración
manager;gerente
many;muchos
market;mercado
marriage;matrimonio
material;material
matter;importar
may;mayo
maybe;tal vez
me;yo
mean;media
measure;medida
media;medios de comunicación
medical;médico
meet;reunirse
meeting;reunión
member;miembro
memory;memoria
mention;mencionar
message;mensaje
method;método
middle;medio
might;podría
military;militar
million;millón
mind;mente
minute;minuto
miss;perder
mission;misión
model;modelo
modern;moderno
moment;momento
money;dinero
month;mes
more;Más
morning;Mañana
most;más
mother;madre
mouth;boca
move;movimiento
movement;movimiento
movie;película
Mr;Señor
Mrs;señora
much;mucho
music;música
must;debe
my;mi
myself;mí mismo
name;nombre
nation;nación
national;nacional
natural;natural
nature;naturaleza
near;cerca
nearly;casi
necessary;necesario
need;necesitar
network;red
never;Nunca
new;nuevo
news;Noticias
newspaper;periódico
next;siguiente
nice;agradable
night;noche
no;no
none;ninguna
nor;ni
north;norte
not;no
note;Nota
nothing;nada
notice;darse cuenta
now;ahora
n't;Nuevo Testamento
number;número
occur;ocurrir
of;de
off;apagado
offer;oferta
office;oficina
officer;oficial
official;oficial
often;a menudo
oh;Oh
oil;petróleo
ok;De acuerdo
old;antiguo
on;en
once;una vez
one;uno
only;solamente
onto;sobre
open;abierto
operation;operación
opportunity;oportunidad
option;opción
or;o
order;orden
organization;organización
other;otro
others;otros
our;nuestro
out;afuera
outside;fuera de
over;terminado
own;propio
owner;propietario
page;página
pain;dolor
