una;a
capacidad;capacity
poder;power
acerca de;about
encima;over
aceptar;to accept
conforme;according
cuenta;account
a través de;through
acto;act
acción;action
actividad;activity
actualmente;at present
añadir;Add
dirección;address
administración;administration
admitir;to admit
adulto;adult
afectar;to affect
después;after
otra vez;again
en contra;against
años;years
agencia;agency
agente;agent
hace;make
de acuerdo;in agreement
acuerdo;agreement
adelante;ahead
aire;air
todos;everyone
permitir;allow
casi;almost
solo;single
a lo largo;along
ya;already
además;also
a pesar de que;although
siempre;forever
americano;American
entre;between
cantidad;quantity
análisis;analysis
y;Y
animal;animal
otro;other
responder;reply
alguna;any
nadie;no one
cualquier cosa;anything
Aparecer;Appear
aplicar;Apply
enfoque;focus
zona;zone
discutir;argue
brazo;arm
alrededor;around
llegar;arrive
Art º;Art
artículo;Article
artista;artist
como;as
pedir;ask
asumir;assume
a;to
ataque;attack
atención;Attention
abogado;attorney
audiencia;audience
autor;Author
autoridad;authority
disponible;available
evitar;avoid
lejos;far
bebé;baby
atrás;behind
malo;bad
bolso;handbag
bola;ball
banco;Bank
bar;Pub
base;base
ser;be
golpear;hit
hermoso;beautiful
porque;why
volverse;become
cama;bed
antes de;before
empezar;start
comportamiento;behavior
detrás;behind
creer;believe
beneficio;benefit
mejor;best
mejor;best
Entre;Between
más allá;beyond
grande;big
cuenta;account
mil millones;one billion
poco;little bit
negro;black
sangre;blood
azul;blue
tablero;board
cuerpo;body
libro;book
nacido;born
ambos;both of them
caja;box
niño;boy
descanso;break
traer;bring
hermano;brother
presupuesto;budget
construir;build
edificio;building
negocio;deal
pero;but
comprar;to buy
por;by
llamada;call
cámara;camera
Campaña;Bell
puede;can
cáncer;Cancer
candidato;candidate
capital;capital
coche;car
tarjeta;card
cuidado;watch out
carrera;career
llevar;wear
caso;case
captura;capture
porque;why
célula;cell
centrar;center
central;central
siglo;century
cierto;TRUE
ciertamente;certainly
silla;chair
reto;challenge
oportunidad;opportunity
cambio;change
personaje;character
cargar;load
comprobar;check
niño;boy
elección;choice
escoger;choose
Iglesia;church
ciudadano;citizen
ciudad;city
civil;civil
Reclamación;Claim
clase;class
claro;Clear
claramente;clearly
cerrar;close
entrenador;coach
frío;cold
colección;collection
Universidad;college
color;colour
ven;come
comercial;commercial
común;common
comunidad;community
empresa;company
comparar;compare
computadora;computer
preocupación;concern
condición;condition
conferencia;conference
Congreso;Congress
considerar;to consider
consumidor;consumer
Contiene;It contains
continuar;continue
controlar;control
costo;cost
podría;might
país;country
Pareja;Partner
curso;course
Corte;cut
cubrir;cover
crear;create
crimen;crime
cultural;cultural
cultura;culture
vaso;glass
corriente;current
cliente;client
cortar;cut
oscuro;Dark
datos;data
hija;daughter
día;day
muerto;dead
acuerdo;agreement
muerte;death
debate;debate
década;decade
decidir;decide
decisión;decision
profundo;deep
defensa;defending
la licenciatura;degree
Demócrata;Democrat
democrático;democratic
describir;describe
diseño;design
A pesar de;In spite of
detalle;detail
determinar;decide
desarrollar;develop
desarrollo;developing
morir;die
diferencia;difference
diferente;different
difícil;hard
cena;Dinner
dirección;address
director;director
descubrir;discover
discutir;argue
discusión;discussion
enfermedad;disease
hacer;do
doctor;doctor
perro;dog
puerta;door
abajo;down
dibujar;to draw
sueño;dream
conducir;drive
soltar;release
fármaco;drug
durante;during
cada;every
temprano;early
este;this
fácil;easy
comer;eat
económico;economic
economía;economy
borde;edge
educación;education
efecto;effect
esfuerzo;effort
ocho;eight
ya sea;either
elección;choice
más;plus
empleado;employee
fin;finish
energía;Energy
disfrutar;enjoy
suficiente;enough
entrar;get in
todo;all
ambiente;ambient
ambiental;environmental
especialmente;especially
establecer;establish
incluso;even
noche;night
evento;event
siempre;forever
cada;every
todos;everyone
todo el mundo;all the world
todo;all
evidencia;evidence
exactamente;exactly
ejemplo;example
ejecutivo;executive
existe;exists
esperar;wait
experiencia;experience
experto;expert
explique;explain
ojo;eye
cara;face
hecho;fact
factor;factor
fallar;fail
otoño;autumn
familia;family
lejos;far
rápido;Quick
padre;father
temor;fear
federal;federal
sensación;sensation
sensación;sensation
pocos;few
campo;field
lucha;fight
figura;figure
llenar;fill in
película;movie
final;final
finalmente;Finally
financiero;financial
encontrar;find
multa;penalty fee
dedo;finger
terminar;finish
fuego;fire
firma;firm
primero;First
pez;fish
cinco;five
piso;floor
volar;fly
atención;Attention
seguir;follow
comida;food
pie;foot
para;for
fuerza;force
exterior;Exterior
olvidar;forget
formar;to form
ex;former
adelante;ahead
cuatro;four
gratis;free
amigo;friend
desde;since
frente;front
completo;full
financiar;to finance
futuro;future
juego;game
jardín;yard
gas;gas
general;general
Generacion;Generation
obtener;obtain
niña;girl
dar;give
vaso;glass
ir;to go
Gol;Goal
bueno;good
gobierno;government
genial;cool
verde;green
suelo;ground
grupo;group
crecer;grow
crecimiento;increase
adivinar;guess
pistola;gun
chico;boy
pelo;hair
mitad;half
mano;hand
colgar;hang up
ocurrir;occur
feliz;happy
difícil;hard
tener;to have
él;the
cabeza;head
salud;Health
oír;hear
corazón;heart
calor;hot
pesado;heavy
ayuda;help
su;its
aquí;here
sí misma;herself
alto;high
él;the
él mismo;the same
su;its
historia;history
golpear;hit
sostener;to hold
casa;home
esperanza;hope
hospital;hospital
caliente;hot
hotel;hotel
hora;hour
casa;home
cómo;how
sin embargo;but nevertheless
enorme;huge
humano;human
cien;one hundred
marido;husband
yo;I
idea;idea
identificar;identify
Si;Yes
imagen;image
imagina;Imagine
impacto;impact
importante;important
mejorar;to get better
en;in
incluir;include
incluso;even
incrementar;increase
en efecto;indeed
indicar;indicate
individual;individual
industria;industry
información;information
dentro;inside
en lugar;instead
institución;institution
interesar;interest
interesante;interesting
internacional;international
entrevista;interview
dentro;inside
inversión;investment
implicar;to imply
problema;problem
eso;that
ít;Item
sus;their
sí mismo;itself
trabajo;work
unirse;join
sólo;single
mantener;keep
llave;key
niño;boy
matar;kill
tipo;kind
cocina;kitchen
saber;to know
conocimiento;knowledge
tierra;land
idioma;language
grande;big
último;latest
tarde;late
luego;then
risa;laughter
ley;law
abogado;attorney
laico;laic
dirigir;lead
líder;Leader
aprender;to learn
menos;less
salir;go out
izquierda;left
pierna;leg
legal;legal
Menos;Less
dejar;leave
carta;letter
nivel;level
mentira;lie
vida;lifetime
ligero;light
me gusta;I like it
probable;probable
línea;line
lista;list
escucha;listen out
pequeño;small
vivir;live
local;local
largo;long
Mira;Look
perder;to lose
pérdida;lost
mucho;much
amor;love
bajo;low
máquina;machine
